City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
20,Esperance,AU,2022-04-03 21:56:54,-33.8667,121.9,64.24,91,100,5.28
21,Rikitea,PF,2022-04-03 21:56:54,-23.1203,-134.9692,76.8,67,58,10.07
22,Mataura,NZ,2022-04-03 21:56:54,-46.1927,168.8643,54.52,79,95,1.72
23,Codrington,AU,2022-04-03 21:56:55,-38.2667,141.9667,59.32,80,98,3.89
24,Busselton,AU,2022-04-03 21:56:55,-33.65,115.3333,60.85,82,30,14.2
25,Dawlatabad,AF,2022-04-03 21:56:55,36.4141,64.9053,63.45,32,5,2.42
26,Sinnar,SD,2022-04-03 21:56:56,13.5691,33.5672,92.79,16,83,6.64
27,Deputatskiy,RU,2022-04-03 21:56:56,69.3,139.9,-13.0,99,71,0.98
28,Klaksvik,FO,2022-04-03 21:56:56,62.2266,-6.589,45.52,98,100,12.86
29,Nyimba,ZM,2022-04-03 21:56:57,-14.5566,30.8149,68.0,97,36,3.96
30,Severo-Kurilsk,RU,2022-04-03 21:52:28,50.6789,156.125,33.3,87,23,11.81
31,Ust-Tsilma,RU,2022-04-03 21:56:57,65.441,52.1498,21.36,95,100,8.86
32,Upernavik,GL,2022-04-03 21:56:57,72.7868,-56.1549,15.53,84,65,4.9
33,Punta Arenas,CL,2022-04-03 21:56:58,-53.15,-70.9167,42.91,70,20,23.02
34,Loandjili,CG,2022-04-03 21:56:58,-4.7561,11.8578,78.03,91,46,4.27
35,Maine-Soroa,NE,2022-04-03 21:56:58,13.2114,12.0241,86.34,7,63,6.46
36,Lebu,CL,2022-04-03 21:52:47,-37.6167,-73.65,54.95,70,0,18.77
37,Adrar,MR,2022-04-03 21:56:59,20.5022,-10.0711,78.26,11,0,12.17
38,Tasiilaq,GL,2022-04-03 21:56:59,65.6145,-37.6368,16.02,94,95,6.08
39,Saint-Philippe,RE,2022-04-03 21:56:59,-21.3585,55.7679,72.99,90,100,11.03
40,Grand Gaube,MU,2022-04-03 21:56:59,-20.0064,57.6608,79.38,82,24,5.99
41,Neiafu,TO,2022-04-03 21:57:00,-18.65,-173.9833,83.08,74,75,8.05
42,Roebourne,AU,2022-04-03 21:57:00,-20.7833,117.1333,79.83,70,0,8.63
43,Airai,TL,2022-04-03 21:57:00,-8.9266,125.4092,56.97,77,28,1.61
44,Iqaluit,CA,2022-04-03 21:57:01,63.7506,-68.5145,26.33,86,40,14.97
45,Santa Rosa,PH,2022-04-03 21:58:01,14.3122,121.1114,78.12,78,93,11.97
46,Tupik,RU,2022-04-03 21:58:01,54.4253,119.9327,12.04,85,85,7.2
47,Ponta Do Sol,PT,2022-04-03 21:53:46,32.6667,-17.1,61.43,75,100,13.8
48,Atuona,PF,2022-04-03 21:58:02,-9.8,-139.0333,79.88,72,52,21.45
49,New Norfolk,AU,2022-04-03 21:58:02,-42.7826,147.0587,56.7,89,97,1.7
50,Norman Wells,CA,2022-04-03 21:58:03,65.282,-126.8329,1.44,55,75,4.61
51,Voh,NC,2022-04-03 21:58:03,-20.9667,164.7,81.27,83,100,4.85
52,Lompoc,US,2022-04-03 21:58:03,34.6391,-120.4579,74.7,79,75,18.41
53,Yerbogachen,RU,2022-04-03 21:58:04,61.2767,108.0108,6.53,93,96,7.72
54,Simbahan,PH,2022-04-03 21:58:04,6.3032,120.5836,81.18,78,74,7.7
55,Tiznit,MA,2022-04-03 21:58:04,29.5833,-9.5,58.24,60,26,1.5
56,Ribeira Grande,PT,2022-04-03 21:58:05,38.5167,-28.7,60.46,78,49,10.07
57,Ponta Delgada,PT,2022-04-03 21:58:05,37.7333,-25.6667,57.92,72,20,5.75
58,Monino,RU,2022-04-03 21:58:06,55.8381,38.1944,27.91,93,100,5.7
59,Margate,GB,2022-04-03 21:58:06,51.3813,1.3862,39.87,64,78,4.0
60,Cherskiy,RU,2022-04-03 21:58:06,68.75,161.3,-0.63,93,100,5.1
61,Jamestown,US,2022-04-03 21:58:07,42.097,-79.2353,35.02,68,99,8.99
62,Gizo,SB,2022-04-03 21:58:07,-8.103,156.8419,83.53,74,98,9.64
63,Karlshamn,SE,2022-04-03 21:58:07,56.1706,14.8619,39.9,82,100,10.47
