City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
73,Nemuro,43.3236,145.575,40.44,86,0,21.03,JP,2022-04-06 00:38:54,clear sky
74,Tigil,57.8,158.6667,29.44,89,88,5.32,RU,2022-04-06 00:41:49,overcast clouds
75,Kapaa,22.0752,-159.319,78.78,83,100,11.5,US,2022-04-06 00:41:49,light rain
76,Xunchang,28.4543,104.715,61.74,75,100,0.78,CN,2022-04-06 00:41:50,overcast clouds
77,Barrow,71.2906,-156.7887,-11.18,77,0,5.75,US,2022-04-06 00:41:50,clear sky
78,Pevek,69.7008,170.3133,-5.19,93,100,5.19,RU,2022-04-06 00:41:50,overcast clouds
79,Vaini,-21.2,-175.2,77.16,94,75,4.61,TO,2022-04-06 00:41:51,light intensity shower rain
80,Nanortalik,60.1432,-45.2371,30.63,88,51,1.72,GL,2022-04-06 00:41:51,broken clouds
81,Mehran,33.1222,46.1646,72.57,22,100,4.41,IR,2022-04-06 00:41:52,overcast clouds
82,Port Elizabeth,-33.918,25.5701,64.09,74,0,19.57,ZA,2022-04-06 00:41:52,clear sky
83,Georgetown,5.4112,100.3354,78.73,99,20,2.3,MY,2022-04-06 00:37:13,few clouds
84,Tacotalpa,17.6,-92.8167,90.86,65,4,3.06,MX,2022-04-06 00:41:52,clear sky
85,Ligayan,4.6533,119.4706,80.37,82,100,17.43,PH,2022-04-06 00:41:53,moderate rain
86,Thompson,55.7435,-97.8558,39.36,52,75,9.22,CA,2022-04-06 00:41:53,broken clouds
87,Conway,35.0887,-92.4421,71.58,85,0,4.63,US,2022-04-06 00:41:30,clear sky
88,Hermanus,-34.4187,19.2345,61.81,80,65,15.82,ZA,2022-04-06 00:41:54,light rain
89,Rio Grande,-32.035,-52.0986,56.95,67,0,8.19,BR,2022-04-06 00:41:55,clear sky
90,Nantucket,41.2835,-70.0995,46.51,81,0,3.44,US,2022-04-06 00:41:53,clear sky
91,Hithadhoo,-0.6,73.0833,82.26,69,16,4.23,MV,2022-04-06 00:41:55,few clouds
